Department,LPO NO,Check,x,NAME OF THE SUPPLIER, AMOUNT ,Date,TENDER NO.
,Missing,10489,FALSE,,,0-Jan-1900,
,Missing,10490,FALSE,,,0-Jan-1900,
,Missing,10491,FALSE,,,0-Jan-1900,
,Missing,10492,FALSE,,,0-Jan-1900,
,Missing,10493,FALSE,,,0-Jan-1900,
,Missing,10494,FALSE,,,0-Jan-1900,
,Missing,10495,FALSE,,,0-Jan-1900,
,Missing,10496,FALSE,,,0-Jan-1900,
,Missing,10497,FALSE,,,0-Jan-1900,
,Missing,10498,FALSE,,,0-Jan-1900,
,Missing,10499,FALSE,,,0-Jan-1900,
,Missing,10500,FALSE,,,0-Jan-1900,
Airticket,10501,10501,TRUE,Kenya Airways ," 53,060.00 ",11-Feb-2021,RBA/EP/AIRTICKETS/613/301/2021
Airticket,10502,10502,TRUE,Kenya Airways ," 118,160.00 ",11-Feb-2021,RBA/EP/AIRTICKETS/613/300/2021
Airticket,10503,10503,TRUE,African Touch Safaris Ltd.," 31,750.00 ",23-Feb-2021,RBA/EP/AIRTICKETS/613/299/2021
Airticket,10504,10504,TRUE,Kenya Airways ," 21,220.00 ",24-Feb-2021,RBA/EP/AIRTICKETS/613/298/2021
Airticket,10505,10505,TRUE,Kenya Airways ," 14,790.00 ",24-Feb-2021,RBA/EP/AIRTICKETS/613/296/2021
Airticket,10506,10506,TRUE,Kenya Airways ," 24,295.00 ",24-Feb-2021,RBA/EP/AIRTICKETS/613/297/2021
Airticket,10507,10507,TRUE,Kenya Airways ," 26,625.00 ",26-Feb-2021,RBA/EP/AIRTICKETS/613/295/2021
Airticket,10508,10508,TRUE,Kenya Airways ," 15,560.00 ",26-Feb-2021,RBA/EP/AIRTICKETS/613/294/2021
Airticket,10509,10509,TRUE,Kenya Airways ," 71,585.00 ",26-Feb-2021,RBA/EP/AIRTICKETS/613/293/2021
Airticket,10510,10510,TRUE,Kenya Airways ," 120,665.00 ",26-Feb-2021,RBA/EP/AIRTICKETS/613/292/2021
Airticket,10511,10511,TRUE,Kenya Airways ," 37,270.00 ",26-Feb-2021,RBA/EP/AIRTICKETS/613/291/2021
Airticket,10512,10512,TRUE,Kenya Airways ," 27,010.00 ",26-Feb-2021,RBA/EP/AIRTICKETS/613/290/2021
Airticket,10513,10513,TRUE,Kenya Airways ," 58,960.00 ",26-Feb-2021,RBA/EP/AIRTICKETS/613/289/2021
Airticket,10514,10514,TRUE,Kenya Airways ," 65,460.00 ",26-Feb-2021,RBA/EP/AIRTICKETS/613/288/2021
Airticket,10515,10515,TRUE,Kenya Airways ," 14,515.00 ",26-Feb-2021,RBA/EP/AIRTICKETS/613/287/2021
Airticket,10516,10516,TRUE,Boma Travels Ltd," 8,850.00 ",26-Feb-2021,RBA/EP/AIRTICKETS/613/286/2021
Airticket,10517,10517,TRUE,Kenya Airways ," 18,635.00 ",8-Mar-2021,RBA/EP/AIRTICKETS/613/284/2021
Airticket,10518,10518,TRUE,Kenya Airways ," 22,705.00 ",24-Feb-2021,RBA/EP/AIRTICKETS/613/285/2021
,Missing,10519,FALSE,,,0-Jan-1900,
Airticket,10520,10520,TRUE,Kenya Airways ," 6,830.00 ",18-Mar-2021,RBA/EP/AIRTICKETS/613/283/2021
,Missing,10521,FALSE,,,0-Jan-1900,
Airticket,10522,10522,TRUE,Kenya Airways ," 16,035.00 ",18-Mar-2021,RBA/EP/AIRTICKETS/613/282/2021
